Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Equity Market Index :GAP,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
12/1/2017,0.0096,0.77558935,1753.71,-105.2226,100.09,-0.008,0.166272905
1/1/2018,0.0126,0.68262863,1826.86,-109.6116,100.09,0.007,0.099222836
2/1/2018,0.0128,0.4175578,1830.13,-109.8078,100.06,-0.023,-0.034211745
3/1/2018,0.0116,0.78780438,1776.26,-106.5756,100.05,-0.009,0.104342254
4/1/2018,0.0106,1.07252298,1780.11,-106.8066,100.05,0.045,0.01408339
5/1/2018,0.0104,1.48918809,1726.97,-103.6182,100.04,0.056,-0.314764427
6/1/2018,0.011,1.38690598,1595.58,-95.7348,100.03,-0.009,-0.213795684
7/1/2018,0.0098,1.47043807,1701.79,-102.1074,100.03,-0.005,0.292900368
8/1/2018,0.0104,1.62178703,1721.58,-103.2948,100.03,0.026,0.167779685
9/1/2018,0.0097,1.32846567,1756.41,-105.3846,100.03,0.029,-0.169617602
10/1/2018,0.0101,1.23531794,1669.09,-100.1454,100.03,0.006,-0.107615921
11/1/2018,0.0095,0.94100981,1641.8,-98.508,100.03,-0.022,0.104777132
12/1/2018,0.0091,0.35443038,1563.88,-93.8328,100.03,-0.065,0.205239099
1/1/2019,0.0102,0.26310463,1641.73,-98.5038,100.03,-0.002,0.293183629
2/1/2019,0.0078,0.73022312,1653.48,-99.2088,100.02,0.024,-0.193449405
3/1/2019,0.009,1.23845295,1638.65,-98.319,100.01,0.041,-0.317297863
4/1/2019,0.0096,1.23294593,1673.52,-100.4112,100.01,0.044,-0.162168579
5/1/2019,0.0111,1.14572864,1620.22,-97.2132,100.01,0.048,-0.065571591
6/1/2019,0.0094,0.8650171,1730.34,-103.8204,100,-0.036,-0.029589541
7/1/2019,0.0114,0.97614974,1711.97,-102.7182,100,0.006,0.405426194
8/1/2019,0.01,0.52193115,1654.92,-99.2952,100,-0.019,0.032474452
9/1/2019,0.0102,0.3202562,1637.22,-98.2332,100,0.01,-1.41E-05
10/1/2019,0.0095,0.110022,1601.49,-96.0894,99.99,-0.016,-0.074855384
11/1/2019,0.0112,0.20048115,1590.59,-95.4354,99.98,-0.013,0.043169267
12/1/2019,0.0096,0.87790111,1579.84,-94.7904,99.98,0.001,0.057561381
1/1/2020,0.0107,1.0597497,1514.14,-90.8484,99.98,0.016,-0.081320788
2/1/2020,0.0109,0.73499799,1340.52,-80.4312,99.97,-0.008,-0.117732042
3/1/2020,0.0103,-0.54146195,1125.86,-67.5516,99.97,-0.086,0.074055174
7/1/2020,0.0215,-0.97667929,1328.53,-79.7118,99.96,-0.203,0.454950335
8/1/2020,0.0186,-0.49925112,1310.66,-78.6396,99.96,0.001,0.792336964
9/1/2020,0.0179,-0.69832402,1237.04,-74.2224,99.96,0.156,-0.68376358
10/1/2020,0.0209,-0.4995504,1194.95,-71.697,99.96,0.066,-1.358909493
11/1/2020,0.02,-0.41016407,1408.31,-84.4986,99.96,0.029,-0.020054462
12/1/2020,0.0149,-0.27008102,1449.35,-86.961,99.96,-0.011,0.441686119
1/1/2021,0.0151,-0.33955857,1466.98,-88.0188,98.98,0.005,0.296200916
1/2/2021,0.0176,-1.16941529,1496.78,-89.8068,98.9,-0.004,0.037403888
1/3/2021,0.0196,-0.08065329,1587.21,-95.2326,98.31,0.015,-0.00580311
1/4/2021,0.0201,3.40640115,1583.13,-94.9878,98.7,0.009,-0.066591468
1/5/2021,0.0176,2.43877341,1593.59,-95.6154,98.75,-0.091,-0.028390543
1/6/2021,0.0189,1.24620061,1587.79,-95.2674,98.75,0.023,0.490420993
1/7/2021,0.019,0.45289855,1521.92,-91.3152,98.75,0.138,-0.258256374
1/8/2021,0.02,-0.02007025,1638.75,-98.325,98.7,-0.093,-0.882612504
1/9/2021,0.0225,1.6777175,1605.68,-96.3408,98.57,0.038,0.766369532
1/10/2021,0.019,2.379757,1623.43,-97.4058,98.57,-0.012,0.060253871
1/11/2021,0.017,2.71220492,1568.69,-94.1214,98.46,-0.018,-0.150150926
1/12/2021,0.0164,2.1664995,1657.62,-99.4572,98.45,0.159,0.17646503
1/1/2022,0.019,3.22677623,1648.81,-98.9286,99.88,0.074,-0.851860576
2/1/2022,0.014,5.27912621,1685.18,-101.1108,99.87,0.028,-0.117603514
3/1/2022,0.012,5.73100595,1695.24,-101.7144,99.87,-0.038,0.485097222
4/1/2022,0.013,4.64769108,1667.44,-100.0464,99.88,0.113,0.457560352
5/1/2022,0.016,7.10195881,1663.41,-99.8046,99.87,0.106,-0.542372615
6/1/2022,0.014,7.65535875,1568.33,-94.0998,99.87,0.066,-0.423332662
7/1/2022,0.013,7.61446749,1576.41,-94.5846,99.87,0.034,0.217271943
8/1/2022,0.0122,7.85907859,1638.93,-98.3358,99.87,0.14,0.276731696
9/1/2022,0.0115,6.41240984,1589.51,-95.3706,99.88,0.09,-0.420470634
10/1/2022,0.014,5.98273833,1608.76,-96.5256,99.87,-0.016,-0.077013956
11/1/2022,0.0115,5.54523227,1635.36,-98.1216,99.87,0.005,0.671800651
12/1/2022,0.0096,5.89043786,1668.66,-100.1196,99.89,0.022,0.220661758
1/1/2023,0.0122,5.0189302,1671.46,-100.2876,99.89,0.033,-0.14894125
2/1/2023,0.0088,3.79442843,1622.35,-97.341,99.89,-0.013,-0.106935909
3/1/2023,0.0103,2.83423991,1609.17,-96.5502,99.89,-0.006,0.188283128
4/1/2023,0.0103,2.6723728,1529.12,-91.7472,99.94,0.03,0.104490736
5/1/2023,0.0128,0.53460889,1533.54,-92.0124,99.94,-0.012,-0.198523318
6/1/2023,0.0089,0.2323852,1503.1,-90.186,100,-0.027,0.092002069
7/1/2023,0.0115,0.38171492,1556.06,-93.3636,100,0.019,0.199357149
8/1/2023,0.0098,0.88404988,1565.94,-93.9564,100,-0.071,-0.180167246
9/1/2023,0.0085,0.29712163,1471.43,-88.2858,100,0.06,0.294700525
10/1/2023,0.0085,-0.31464001,1381.83,-82.9098,100,-0.001,-0.36915563
11/1/2023,0.008,-0.43550778,1380.18,-82.8108,100.06,0.055,-0.103326989
12/1/2023,0.0079,-0.83441498,1415.85,-84.951,100.05,-0.036,-0.091658913
1/1/2024,0.0108,-1.10926234,1364.52,-81.8712,100.04,-0.028,0.277762657
2/1/2024,0.0098,-0.76816289,1370.67,-82.2402,100.04,-0.025,0.232987963
3/1/2024,0.0098,-0.47327394,1377.94,-82.6764,100.04,-0.046,-0.041985398
4/1/2024,0.011,0.1852538,1367.95,-82.077,100.04,0.002,-0.008097133
5/1/2024,0.0121,1.5393227,1345.66,-80.7396,100.03,0.022,0.023863159
