Year,Unemployment Rate: Monthly: Thailand,Consumer Price Index: YoY: Monthly: Thailand,Equity Market Index: Month End: SET,Consumer Price Index,CPI: TC: Communication and Equipments,inflaton rate total ,Expect inflation ARIMA
5/1/2022,0.016,7.10195881,1663.41,106.62,99.87,0.106,-0.542372615
6/1/2022,0.014,7.65535875,1568.33,107.58,99.87,0.066,-0.423332662
7/1/2022,0.013,7.61446749,1576.41,107.41,99.87,0.034,0.217271943
8/1/2022,0.0122,7.85907859,1638.93,107.46,99.87,0.14,0.276731696
9/1/2022,0.0115,6.41240984,1589.51,107.7,99.88,0.09,-0.420470634
10/1/2022,0.014,5.98273833,1608.76,108.06,99.87,-0.016,-0.077013956
11/1/2022,0.0115,5.54523227,1635.36,107.92,99.87,0.005,0.671800651
12/1/2022,0.0096,5.89043786,1668.66,107.86,99.89,0.022,0.220661758
1/1/2023,0.0122,5.0189302,1671.46,108.18,99.89,0.033,-0.14894125
2/1/2023,0.0088,3.79442843,1622.35,108.05,99.89,-0.013,-0.106935909
3/1/2023,0.0103,2.83423991,1609.17,107.76,99.89,-0.006,0.188283128
4/1/2023,0.0103,2.6723728,1529.12,107.96,99.94,0.03,0.104490736
5/1/2023,0.0128,0.53460889,1533.54,107.19,99.94,-0.012,-0.198523318
6/1/2023,0.0089,0.2323852,1503.1,107.83,100,-0.027,0.092002069
7/1/2023,0.0115,0.38171492,1556.06,107.82,100,0.019,0.199357149
8/1/2023,0.0098,0.88404988,1565.94,108.41,100,-0.071,-0.180167246
9/1/2023,0.0085,0.29712163,1471.43,108.02,100,0.06,0.294700525
10/1/2023,0.0085,-0.31464001,1381.83,107.72,100,-0.001,-0.36915563
11/1/2023,0.008,-0.43550778,1380.18,107.45,100.06,0.055,-0.103326989
12/1/2023,0.0079,-0.83441498,1415.85,106.96,100.05,-0.036,-0.091658913
1/1/2024,0.0108,-1.10926234,1364.52,106.98,100.04,-0.028,0.277762657
2/1/2024,0.0098,-0.76816289,1370.67,107.22,100.04,-0.025,0.232987963
3/1/2024,0.0098,-0.47327394,1377.94,107.25,100.04,-0.046,-0.041985398
4/1/2024,0.011,0.1852538,1367.95,108.16,100.04,0.002,-0.008097133
5/1/2024,0.0121,1.5393227,1345.66,108.84,100.03,0.022,0.023863159
